role,description,skills,upskilling
Data Scientist,"Build ML models, analyze data and create visualizations.","python, pandas, scikit-learn, statistics, tableau, power bi, matplotlib","Machine Learning Specialization, Statistics with Python"
Machine Learning Engineer,"Productionize ML models, work with model deployment and data pipelines.","python, mlops, docker, tensorflow, pytorch, aws","MLOps Professional Cert, Deep Learning Specialisation"
Frontend Developer,"Build user interfaces, HTML/CSS/JS, modern frameworks.","html, css, javascript, react, tailwind, next.js, typescript","Advanced React Patterns, Frontend Masters courses"
Backend Developer,"Design APIs, databases, server-side logic.","python, flask, sql, django, postgresql, redis, docker","System Design Interview Prep, Advanced PostgreSQL"
DevOps Engineer,"CI/CD pipelines, infra-as-code, monitoring.","docker, kubernetes, aws, ci/cd, terraform, linux, bash","AWS Solutions Architect, Kubernetes bootcamp (CKA)"
Product Manager,"Define product vision, roadmap, stakeholder communication.","communication, analytics, user-research, jira, roadmap","Product Management Certification, Strategy workshops"
UI/UX Designer,"Design interfaces and user studies.","figma, prototyping, user-testing, adobe xd, wireframing","Design systems, Advanced Prototyping"
Data Analyst,"Run queries, dashboards, ETL, reporting.","sql, excel, tableau, pandas, power bi, google data studio","Google Data Analytics, Advanced SQL for BI"
QA Engineer,"Write tests, automate testing and ensure quality.","testing, selenium, pytest, automation, playwright, cypress","Test Automation University, Playwright bootcamp"
Mobile Developer,"Build Android/iOS apps, mobile UI/UX.","java, kotlin, swift, react-native, flutter, dart","Mobile App Development with Flutter, Swift Masterclass"
Cloud Architect,"Design cloud infrastructure and serverless solutions.","aws, azure, gcp, cloudformation, terraform, serverless","AWS Developer Associate, Cloud Migration strategies"
Cybersecurity Analyst,"Protect systems from threats and monitor security.","networking, firewalls, penetration-testing, splunk, ethical-hacking","CompTIA Security+, Certified Ethical Hacker (CEH)"
Business Analyst,"Bridge business needs with IT solutions using data.","sql, excel, power bi, requirements-gathering, stakeholder-management","Business Analytics Specialization, CBAP certification"
